question_text,options,solution_text,question_no,exercise,path,chapter,subject,grade,book
"The product of the place values of two 2’s in 428721 is
","A. 4
B. 40000
C. 400000
D. 40000000","Place value is the value of the digit depending on its place in the number.

In the number 428721,

a) Place value of rightmost ‘2’ is tens place.

Hence, its place value = 2× 10

= 20

b) Place value of leftmost ‘2’ is ten thousand

Hence, its place value = 2× 10000

= 20000

∴ Product of place values = 20× 20000

= 400000",Q. 1,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"3 × 10000 + 7 × 1000 + 9 × 100 + 0 ×10 + 4 is the same as
","A. 3794
B. 37940
C. 37904
D. 379409","In 3 × 10000 + 7 × 1000 + 9 × 100 + 0 ×10 + 4

Place value of 3 = 3× 10000

= 30000

Place value of 7 = 7× 1000

= 7000

Place value of 9 = 9× 100

= 900

Place value of 0 = 0× 10

= 0

Place value of 4 = 4× 1

= 4

Adding all place values = 30000+7000+900+0+4

= 37904",Q. 2,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"If 1 is added to the greatest 7- digit number, it will be equal to
","A. 10 thousand

B. 1 lakh

C. 10 lakh

D. 1 crore","The greatest 7 digit number = 9999999

Hence adding 1 to it,

The number we get = 9999999+1

= 10000000

= 1× 107

= 1 crore",Q. 3,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The expanded form of the number 9578 is
","A. 9 × 10000 + 5 × 1000 + 7 × 10 + 8 × 1

B. 9 × 1000 + 5 × 100 + 7 × 10 + 8 × 1

C. 9 × 1000 + 57 × 10 + 8 × 1

D. 9 × 100 + 5 × 100 + 7 × 10 + 8 × 1","Starting from right for the number 9578,

Place value of 8 is ones = 8× 1

Place value of 7 is tens = 7× 10

Place value of 5 is hundred = 5× 100

Place value of 9 is thousand = 9× 1000

Hence, expanding form of the number is adding all above,

i.e. 9 × 1000 + 5 × 100 + 7 × 10 + 8 × 1

Hence, (B) is the answer.",Q. 4,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"When rounded off to nearest thousands, the number 85642 is
","A. 85600

B. 85700

C. 85000

D. 86000","Starting from the right for the number 85642,

Place value of 2 is ones

Place value of 4 is tens

Place value of 6 is hundreds

Place value of 5 is thousands

Place value of 8 is ten thousands

Since, we need to round off to nearest thousands, all digits following 5 should be replaced by 0 and as the digit succeeding 5 is 6(greater than 5), therefore digit at ten thousand's place should be increment by 1,

∴ Answer = 86000",Q. 5,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The largest 4-digit number, using any one digit twice, from digits 5, 9, 2 and 6 is
","A. 9652

B. 9562

C. 9659

D. 9965","The largest 4-digit number is obtained by writing the digits in reverse order (i.e. descending order)

But, here 1 digit can be used twice, hence using the maximum digit (here, 9 twice) and other digits in descending order,

The answer is: 9965",Q. 6,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"In Indian System of Numeration, the number 58695376 is written as
","A. 58, 69, 53, 76

B. 58, 695, 376

C. 5, 86, 95, 376

D. 586, 95, 376","The given number in Indian number system in words is:

5 crore, eighty six lakhs, ninty five thousand, three hundred and seventy six.

i.e. 5, 86, 95, 376",Q. 7,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"One million is equal to

","A. 1 lakh

B. 10 lakh

C. 1 crore

D. 10 crore","One million = 1, 000, 000

= 10× 1, 00, 000

= 10× 105

= 10 lakhs.",Q. 8,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The greatest number which on rounding off to nearest thousands gives 5000, is
","A. 5001

B. 5559

C. 5999

D. 5499","To round off a number to nearest thousands,

If the number at hundred place is 0, 1, 2, 3 or 4 we round down

If the number at hundred place is 5, 6, 7, 8 or 9 we round up.

5, 001 on rounding off to nearest thousands gives 5000

(since at hundred place is 0)

5, 559 on rounding off to nearest thousands gives 6000

(since at hundred place is 5)

5, 999 on rounding off to nearest thousands gives 6000

(since at hundred place is 9)

5, 499 on rounding off to nearest thousands gives 5000

(since at hundred place is 4)

Thus the number which rounds off to 5000 and is the largest is 1 less than 5000

= 5000-1

= 5499",Q. 9,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Keeping the place of 6 in the number 6350947 same, the smallest number obtained by rearranging other digits is
","A. 6975430

B. 6043579

C. 6034579

D. 6034759","The number is 63, 50, and 947 in Indian number system.

The place of 6 is same i.e. ten lakhs.

Digits other than 6 are 3, 5, 0, 9, 4, and 7

To obtain the smallest number, arranging them in ascending order, i.e. 0, 3, 4, 5, 7 and 9

The required number is 6034579",Q. 10,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
