question_text,options,solution_text,question_no,book,grade,subject,path,chapter,exercise
"Given below are names of some animals:
(i) Goat
(ii) Human beings
(iii) Cockroach
(iv) Eagle
Which of the above animals form a pair of omnivores?
","A. (i) and (ii)
B. (ii) and (iii)
C. (iii) and (iv)
D. (ii) and (iv)
","Both human beings and cockroaches are omnivores as the feed upon plants or plant products as well on other organisms.
Goat is a herbivore as it feeds only upon the plants or products obtained by the plants.
Eagle is a middle carnivore. It feeds upon other organisms.
",Q. 1,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/i-goat-ii-human-beings-iii-cockroach-iv-eagle-which-of-the-i-1nkn71,Food: Where Does It Come From,Multiple Choice Question
"Honeybee makes honey from
","A. Pollen
B. Petals
C. Nectar
D. Bud
","Bees collect nectar from different flowers and convert it into honey and then they store this honey as food. Nectar is the sweet juice present in flowers and it is available for only a small duration of the year. Bees store this nectar for use for the whole year.
",Q. 2,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/honeybee-makes-honey-froma-pollen-b-petals-c-nectar-d-bud-i-1nkn72,Food: Where Does It Come From,Multiple Choice Question
"Below are names of some animals :
(i) Cow
(ii) Sheep
(iv) Horse
(iv) Ox
Which of the above are sources of milk for human being?
","A. (i) and (iii)
B. (i) and (ii)
C. (ii) and (iii)
D. (iii) and (iv)
","Of the listed animals, that is, cow, sheep, horse and ox only cow and sheep provide us with milk. The other animals like horse and ox do not give us milk.
",Q. 3,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/below-are-names-of-some-animals-i-cow-ii-sheep-iv-horse-iv-i-1nkn73,Food: Where Does It Come From,Multiple Choice Question
"Given below is a list of edible plants:
(i) Banana
(ii) Pumpkin
(iii) Lady’s finger
(iv) Brinjal
Which pair of plant have two or more edible parts?
","A. (i) and (ii)
B. (ii) and (iii)
C. (iii) and (iv)
D. (i) and (iv)
","In banana the edible parts are fruit & stem while in pumpkin the edible parts are fruit, seed kernel & leaves.
",Q. 4,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/given-below-is-a-list-of-edible-plants-i-banana-ii-pumpkin-i-1nkn74,Food: Where Does It Come From,Multiple Choice Question
"The part of a banana plant not used as food is
","A. Flower
B. Fruit
C. Stem
D. Root
","Roots of banana are non edible.
",Q. 5,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/the-part-of-a-banana-plant-not-used-as-food-isa-flower-b-i-1nkn75,Food: Where Does It Come From,Multiple Choice Question
"Read each set of term and identify the odd set
","A. Cow, Milk, Butter
B. Hen, Meat, Egg
C. Goat, Milk, Meat
D. Plant, Vegetable, Butter milk
","The other sets are:
(a) cow, milk, butter. It is related as cow gives milk and butter can be obtained from milk.
(b) hen, meat, egg. Both meat and eggs can be obtained from hen.
(c) goat, milk, meat. Both milk and meat can be obtained from goat.
(d) plants, vegetables, buttermilk. This option is incorrect. Buttermilk is a diary product and can be obtained from milk. Vegetables are obtained from plants but not the milk.
",Q. 6,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/read-each-set-of-term-and-identify-the-odd-seta-cow-milk-i-1nkn76,Food: Where Does It Come From,Multiple Choice Question
"Read the clues and fill up the blanks given below each of them.
(a) Honeybees suck from flower.
N_ _ T _ R
(b) Animals which eat other animals.
_ A _ N _ V _ R _ S
(c) Animals which eat only plants and products.
H E _ B _ _ _ _ E
(d) Animals which eat both plants and animals.
_ M N I _ O _ _ _
",NA,"(a) NECTAR. Honeybees collect nectar from flowers and make honey from it.
(b) CARNIVORES. The animals which eat other animals are known as carnivores. Examples are lion, eagle etc.
(c) HERBIVORE. The animals which eat only plants or plant products are known as herbivores. Example include caterpillar, goat, cow, sheep etc.
(d) OMNIVORES. The animals which feed upon both plants or plant products and other animals are known as Omnivores. Example include human beings, cockroach etc.
",Q. 7,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/read-the-clues-and-fill-up-the-blanks-given-below-each-of-i-1nkn77,Food: Where Does It Come From,Very Short Answer Question
"Why do boiled seeds fail to sprout?
",NA,"Boiling denatures or damages the enzymes which are responsible for the sprouting process therefore after boiling seeds do not sprout.
",Q. 8,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/why-do-boiled-seeds-fail-to-sprout-i-1nkn78,Food: Where Does It Come From,Very Short Answer Question
"Where do bees store honey?
",NA,"Honey bees collect the sweet juice from flowers which is known as nectar, convert it into honey and store the produced honey in their home which is bee hive.",Q. 9,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/where-do-bees-store-honey-i-1nkn79,Food: Where Does It Come From,Very Short Answer Question
"Name two ingredients in our food that are obtained from plants or animals. Mention one source for each ingredient.
",NA,"The two ingredients in our food are (i) milk (ii) spices like chilies.
Milk is obtained from animals like cow, buffalo, camel, sheep.
Spices are obtained from plants. Chili is obtained from chili plant.
",Q. 10,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/name-two-ingredients-in-our-food-that-are-obtained-from-i-1nkn7a,Food: Where Does It Come From,Very Short Answer Question
"Given below are jumble words which are names of parts of plants. Rearrange them to get the correct words.
(a) T I L C H I
(b) I T R U F
(c) S E A N B O Y A
(d) G U R S A
(e) R O U N D G U N T
",NA,"(a) T I L C H I : LITCHI
(b) I T R U F : FRUIT
(c) S E A N B O Y A : SOYABEAN
(d) G U R S A : SUGAR
(e) R O U N D G U N T: GROUNDNUTAlso, known as peanut, it is a legume crop....
",Q. 11,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/given-below-are-jumble-words-which-are-names-of-parts-of-i-1nkn7b,Food: Where Does It Come From,Very Short Answer Question
"Identify the animals in the grid given below as Fig. 1.1 and categorize them into herbivore, carnivore and omnivores.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18966/1531400268796595.png""/></p>
",NA,"Herbivores :
Cow, Hen, Goat
Carnivores: Lion, Cat, Frog, Wolf, Crow, Owl
Omnivores: Human, Rat, Ant
",Q. 12,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/identify-the-animals-in-the-grid-given-below-as-fig-1-1-and-i-1nkn7c,Food: Where Does It Come From,Short Answer Questions
"Why should we avoid wastage of food?
",NA,Food is grown by farmers which include a lot of hard work. They put their efforts to grow food and there are many people who do not get access even to the basic food and if we are getting enough food to meet our requirements we must thank God and not waste the given food.,Q. 13,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/why-should-we-avoid-wastage-of-food-i-1nkn7d,Food: Where Does It Come From,Short Answer Questions
"Why do organisms need food? Write two reasons.
",NA,"● Organisms need the energy to perform day to day tasks. This energy is obtained from the food we take in.
● The nutrients we get from food also help us to repair the damaged tissues of the body.
",Q. 14,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/why-do-organisms-need-food-write-two-reasons-i-1nkn7e,Food: Where Does It Come From,Short Answer Questions
